Name	Latitude 	Longitude	Z 	Depth (m)	Distance(m)
TZI13	17.119576	-91.627774	0	30.3	0
TZI14	17.119181	-91.62751	0	27.2	52
TZI15	17.118724	-91.627392	0	22.5	104
TZI16	17.118344	-91.627146	0	17.9	153
TZI17	17.117913	-91.626931	0	9.6		209
TZI18	17.117406	-91.626796	0	10.5	254
TZI44	17.117248	-91.626485	0	10.3	291
TZI43	17.117206	-91.626059	0	7.6		333
TZI42	17.117047	-91.625607	0	8.6		381
TZI41	17.116718	-91.625218	0	11.0	433

